year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1826,0.12026761763992487,0.03950823163488087,0.006474363484574277,6.547547657991188e-08,0.0152,-0.0,0.005107945588515217,0.0,-0.0026193274058912107,-0.010249380645537582,0.0025198770543856564,-0.019170797401069677,0.16037395519074635,-0.010824577985478616,0.157038595425259,0.14954937720526773,0.30658797263052673
1827,0.12183416953371387,0.040016601134906196,0.0065592661799595015,6.633699600858946e-08,0.0154,-0.0,0.005173671733106752,0.0,-0.0029672950030201935,-0.011372133937975256,0.0028055082796363557,-0.01957872385264715,0.17722825483510965,0.013574738420771379,0.1578711304046761,0.19080299325588101,0.3486741236605571
1828,0.12340031409981303,0.040524684654258916,0.006644161459424792,6.719851543729475e-08,0.0156,-0.0,0.005239360903790456,0.0,-0.00422166586047391,-0.013075355449464868,0.003646596274939811,-0.019986650304224626,0.18289538758840385,0.02098501674108388,0.1577715129765791,0.20388040432948773,0.36165191730606683
1829,0.12496605156868888,0.04103248263358013,0.006729049323751163,6.806003486597235e-08,0.0158,-0.0,0.0053050131575359954,0.0,-0.0037550255336477913,-0.012395058194560812,0.00317919972452957,-0.020394576755802106,0.18479929364776207,0.01195227748327138,0.16046720398410988,0.19675157113103345,0.3572187751151433
1830,0.12653138217060958,0.04153999551235383,0.006813929773719189,6.892155429464992e-08,0.016,-0.0,0.005370628551163435,0.0,-0.004341340197501636,-0.0159526670981069,0.003447896292156715,-0.020802503207379582,0.1854388472573092,-0.007782463727666117,0.1586073907185689,0.17765638352964308,0.33626377424821197
1831,0.1280963061356522,0.042047223728911495,0.006898802810109004,6.97830737233275e-08,0.0162,-0.0,0.005436207141343835,0.0,-0.0034647176489752095,-0.014483835229501146,0.002974854855871952,-0.021210429658957055,-2.2447406013527207,-0.03433466099329111,0.16249448191752883,-2.2790752623460118,-2.116580780428483
1832,0.12966082369369097,0.04255416772043586,0.006983668433701489,7.064459315200509e-08,0.0164,-0.0,0.005501748984599736,0.0,-0.003228089524313346,-0.014470711334644976,0.002891310544929058,-0.021652683906249543,-1.4987682109213591,-0.059451604352666124,0.16464030525674236,-1.5582198152740252,-1.3935795100172828
1833,0.13122493507440947,0.0430608279229651,0.007068526645276289,7.150611258071038e-08,0.0166,-0.0,0.0055672541373057,0.0,-0.0035091324560315267,-0.014906992293705878,0.0029263088373510846,-0.02214928975776249,-0.4194845439142279,-0.07502098911829111,0.16588250961592038,-0.494505533032519,-0.3286230234165986
1834,0.132788640507295,0.04356720477139805,0.007153377445613801,7.236763200938796e-08,0.016800000000000002,-0.0,0.0056327226556889855,0.0,-0.004660393053103912,-0.016457100526511007,0.003551762192247878,-0.022645895609275435,-0.01933718178498213,-0.07247809361047862,0.16573039075098536,-0.09181527539546075,0.07391511535552461
1835,0.1343519402216398,0.04407329869949671,0.00723822083549318,7.322915143806554e-08,0.017,-0.0,0.005698154595829874,0.0,-0.0040565146045683405,-0.016355578349242898,0.0034738627671795056,-0.023142501460788382,-1.6633625299236003,-0.03912404087610361,0.16828095593419085,-1.702486570799704,-1.534205614865513
1836,0.13591483444654145,0.044579110139892075,0.007323056815694336,7.409067086674312e-08,0.0172,-0.0,0.00576355001366242,0.0,-0.004423213134687718,-0.01847566572557153,0.0034591860639057535,-0.02363910731230133,-1.0677252796589791,0.01989297572545888,0.16770182539780631,-1.0478323039335202,-0.8801304785357139
1837,0.13747732341090288,0.045084639524087,0.007407885386996736,7.495219029542071e-08,0.017400000000000002,-0.0,0.005828908964974822,0.0,-0.0045543735384448066,-0.018965812849356504,0.0038656178468711813,-0.02413571316381428,-0.2640591208376881,0.06382422572545889,0.16940855053440732,-0.20023489511222925,-0.030826344577821935
1838,0.139039407343434,0.045589887282461376,0.007492706550179801,7.5813709724126e-08,0.0176,-0.0,0.005894231505410094,0.0,-0.005179401442307271,-0.02038267543557867,0.004284468378760555,-0.02463231901532723,0.03335501919910246,0.07564946986608387,0.16970638098074242,0.10900448906518634,0.27871087004592876
1839,0.14060108647264585,0.04609485384427496,0.007577520306022509,7.667522915280358e-08,0.0178,-0.0,0.005959517690466429,0.0,-0.004983765015316607,-0.02043161093422078,0.004005611016559273,-0.025128924866840176,0.13450763436493787,0.061967755998896375,0.17149436518882066,0.19647539036383424,0.3679697555526549
1840,0.14216236102686272,0.04659953963767312,0.007662326655303797,7.753674858148116e-08,0.018000000000000002,-0.0,0.006024767575497944,0.0,-0.005266857287438056,-0.021442430695881188,0.0039073900023426315,-0.025625530718353124,0.16854263071970732,0.03953411342077138,0.17202164373275644,0.2080767441404787,0.38009838787323513
1841,0.14372323123421046,0.047103945089689195,0.007747125598802555,7.839826801015875e-08,0.0182,-0.0,0.006089981215714983,0.0,-0.005590432149139273,-0.02281362189585301,0.004433493365847877,-0.02614502320240286,0.17997793561545353,0.006741681780146382,0.172748777655138,0.18671961739559992,0.3594683950507379
1842,0.14528369732262397,0.04760807062624981,0.00783191713729723,7.925978743883633e-08,0.0184,-0.0,0.0061551586661848035,0.0,-0.0055701805935921105,-0.023308241072354168,0.003967225792612537,-0.02668892525671968,0.18381929631950947,-0.028110027204228616,0.17367880188208984,0.15570926911528085,0.32938807099737066
1843,0.14684375951984122,0.048111916672178394,0.007916701271566224,8.012130686754162e-08,0.0186,-0.0,0.006220299981832035,0.0,-0.0049838545323370904,-0.023249679995425564,0.0035370854889741257,-0.027232827311036496,0.18510965928096967,-0.058437566266728615,0.17576348121689972,0.12667209301424107,0.30243557423114076
1844,0.1484034180534096,0.04861548365119892,0.008001478002388297,8.09828262962192e-08,0.0188,-0.0,0.006285405217439162,0.0,-0.005036180399560119,-0.02525190275889182,0.003906261025167725,-0.027776729365353314,0.1855430999305122,-0.07697106236047861,0.17594731440862477,0.1085720375700336,0.28451935197865835
1845,0.1499626731506874,0.04911877198594066,0.008086247330540967,8.184434572489677e-08,0.019,-0.0,0.006350474427647132,0.0,-0.006039182879444067,-0.028131474218491992,0.00421785872544122,-0.02832063141967013,0.18568870533529727,-0.0782191092354786,0.1742448189469969,0.10746959609981867,0.28171441504681555
1846,0.151521525038833,0.04962178209794125,0.008171009256802104,8.270586515357437e-08,0.0192,-0.0,0.0064155076669557606,0.0,-0.0056122250084582985,-0.027872379082541966,0.004215600771091413,-0.028864533473986948,0.003535562113167848,-0.06584784458704111,0.17679636997250145,-0.062312282473873264,0.11448408749862818
1847,0.15307997394481737,0.050124514407651574,0.008255763781950332,8.356738458225194e-08,0.0194,-0.0,0.0064805049897243595,0.0,-0.006369506593941306,-0.030518595154154674,0.004778960381368493,-0.029408435528303765,0.05986150819062035,-0.05350778111047861,0.175823263796497,0.006353727080141737,0.18217699087663872
1848,0.15463802009541686,0.05062696933443872,0.008340510906762242,8.442890401095724e-08,0.0196,-0.0,0.006545466450172117,0.0,-0.007427408875602958,-0.03213601148650237,0.005414574530839424,-0.029952337582620583,0.14052998907092631,-0.04113651646204111,0.1756498678018075,0.0993934726088852,0.27504334041069267
1849,0.1561956637172207,0.051129147296590835,0.008425250632015971,8.529042343963481e-08,0.0198,-0.0,0.006610392102378727,0.0,-0.007190015958271064,-0.03279388202086276,0.005132330237113433,-0.030553011590936513,0.1704345774563485,-0.028765251813603614,0.17675595970567282,0.14166932564274487,0.3184252853484177
1850,0.1577529050366192,0.05163104871132035,0.008509982958488415,8.615194286831239e-08,0.019,-0.0,0.006675282000284806,0.0,-0.0075678174841316455,-0.034430307061826426,0.005343448968820473,-0.03125687970329533,0.18074597510251067,-0.01644078892297862,0.1756577495782227,0.16430518617953205,0.3399629357577547
